37;50;50;50;50;37;37;37;37;37;50;37;37;37;50;37;37;37;37;57;50;50;50;50;37;37
50;37;50;50;50;37;37;37;37;37;37;50;37;37;50;37;37;37;37;50;57;50;50;50;37;37
50;50;37;50;50;37;37;37;37;37;37;37;50;37;50;37;37;37;37;50;50;57;50;50;37;37
50;50;50;37;50;37;37;37;37;37;37;37;37;50;50;37;37;37;37;50;50;50;57;57;37;37
50;50;50;50;37;37;37;37;37;37;37;37;37;37;50;37;37;37;37;50;50;50;57;57;37;37
37;37;37;37;37;37;50;50;50;50;37;37;37;37;37;50;50;37;37;37;37;37;37;37;57;57
37;37;37;37;37;50;37;50;50;50;37;37;37;37;37;50;50;37;37;37;37;37;37;37;57;57
37;37;37;37;37;50;50;37;50;50;37;37;37;37;37;50;37;50;37;37;37;37;37;37;50;50
37;37;37;37;37;50;50;50;37;50;37;37;37;37;37;50;37;37;50;37;37;37;37;37;50;50
37;37;37;37;37;50;50;50;50;37;37;37;37;37;37;50;37;37;37;37;37;37;37;37;50;50
50;50;50;50;50;37;37;37;37;37;37;37;37;37;50;37;37;37;37;50;50;50;50;50;37;37
50;50;50;50;50;37;37;37;37;37;37;37;37;37;50;37;37;37;37;50;50;50;50;50;37;37
50;50;50;50;50;37;37;37;37;37;37;37;37;37;50;37;37;37;37;50;50;50;50;50;37;37
50;50;50;50;50;37;37;37;37;37;37;37;37;37;50;37;37;37;37;50;50;50;50;50;37;37
50;50;50;50;50;37;37;37;37;37;37;37;37;50;37;37;37;37;37;50;50;50;50;50;37;37
37;37;37;37;37;50;50;50;50;50;37;37;37;37;37;37;50;37;37;37;37;37;37;37;50;50
37;37;37;37;37;50;50;50;50;50;37;37;37;37;37;50;37;37;37;37;37;37;37;37;50;50
37;37;37;37;37;50;50;50;50;50;37;37;37;37;37;50;37;37;37;37;37;37;37;37;50;50
37;37;37;37;37;50;50;50;50;50;37;37;37;37;37;50;37;37;37;37;37;37;37;37;50;50
57;50;50;50;50;37;37;37;37;37;50;37;37;37;50;37;37;37;37;37;50;50;50;50;37;37
50;57;50;50;50;37;37;37;37;37;37;50;37;37;50;37;37;37;37;50;37;50;50;50;37;37
50;50;57;50;50;37;37;37;37;37;37;37;50;37;50;37;37;37;37;50;50;37;50;50;37;37
50;50;50;57;57;37;37;37;37;37;37;37;37;50;50;37;37;37;37;50;50;50;37;50;37;37
50;50;50;57;57;37;37;37;37;37;37;37;37;50;50;37;37;37;37;50;50;50;50;37;37;37
37;37;37;37;37;57;57;50;50;50;37;37;37;37;37;50;50;37;37;37;37;37;37;37;37;50
37;37;37;37;37;57;57;50;50;50;37;37;37;37;37;50;50;37;37;37;37;37;37;37;50;37
